"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jan 14 17:09:04 IST 2023","Sat Jan 14 17:09:38 IST 2023","34115","","Flipkart","","","","Flipkart Book Purchase: Pass",""
"failed","Sat Jan 14 17:09:38 IST 2023","Sat Jan 14 17:10:09 IST 2023","30711","","Flipkart","","","","Flipkart Book Purchase: Fail",""
